Province,Year,T2M_mean,T2M_std,T2M_max,T2M_min,T2M_MAX_max,T2M_MIN_min,RH2M_mean,RH2M_std,CLOUD_AMT_mean,PRECTOTCORR_sum,PRECTOTCORR_max,PRECTOTCORR_std,GWETPROF_mean,CLRSKY_SFC_SW_DWN_mean,hot_day_sum,cold_day_sum,rainy_day_sum,heavy_rain_sum,dry_day_sum,GDD_sum,rain_intensity,dry_ratio,hot_ratio,PRECTOTCORR_sum_lag1,T2M_mean_lag1,GDD_sum_lag1,Commodity,Yield,Elevation,Landcover,Lat,Lon,Ndvi_mean,Soil_clay,Soil_ph,Soil_sand,Soil_soc
An Giang,2008,27.516830601092895,1.6637038424356039,32.54,22.69,39.96,19.11,77.84948087431694,11.807556879210804,79.34592896174864,1207.24,45.14,5.220705023288537,0.6820218579234972,23.407622950819672,72,0,198,6,64,6411.16,6.066532663316583,0.17534246575342466,0.19726027397260273,0.0,0.0,0.0,Lúa mùa,3.8271604938271606,-1.0,40,10.5149,105.1132,0.5879285294117648,44,5.5,27,1.2
An Giang,2008,27.516830601092895,1.6637038424356039,32.54,22.69,39.96,19.11,77.84948087431694,11.807556879210804,79.34592896174864,1207.24,45.14,5.220705023288537,0.6820218579234972,23.407622950819672,72,0,198,6,64,6411.16,6.066532663316583,0.17534246575342466,0.19726027397260273,0.0,0.0,0.0,Ngô,7.443478260869565,-1.0,40,10.5149,105.1132,0.5879285294117648,44,5.5,27,1.2
An Giang,2008,27.516830601092895,1.6637038424356039,32.54,22.69,39.96,19.11,77.84948087431694,11.807556879210804,79.34592896174864,1207.24,45.14,5.220705023288537,0.6820218579234972,23.407622950819672,72,0,198,6,64,6411.16,6.066532663316583,0.17534246575342466,0.19726027397260273,0.0,0.0,0.0,Lúa,6.224623560673162,-1.0,40,10.5149,105.1132,0.5879285294117648,44,5.5,27,1.2
An Giang,2008,27.516830601092895,1.6637038424356039,32.54,22.69,39.96,19.11,77.84948087431694,11.807556879210804,79.34592896174864,1207.24,45.14,5.220705023288537,0.6820218579234972,23.407622950819672,72,0,198,6,64,6411.16,6.066532663316583,0.17534246575342466,0.19726027397260273,0.0,0.0,0.0,Lúa hè thu,5.506621496766246,-1.0,40,10.5149,105.1132,0.5879285294117648,44,5.5,27,1.2
An Giang,2008,27.516830601092895,1.6637038424356039,32.54,22.69,39.96,19.11,77.84948087431694,11.807556879210804,79.34592896174864,1207.24,45.14,5.220705023288537,0.6820218579234972,23.407622950819672,72,0,198,6,64,6411.16,6.066532663316583,0.17534246575342466,0.19726027397260273,0.0,0.0,0.0,Khoai lang,22.0,-1.0,40,10.5149,105.1132,0.5879285294117648,44,5.5,27,1.2
An Giang,2008,27.516830601092895,1.6637038424356039,32.54,22.69,39.96,19.11,77.84948087431694,11.807556879210804,79.34592896174864,1207.24,45.14,5.220705023288537,0.6820218579234972,23.407622950819672,72,0,198,6,64,6411.16,6.066532663316583,0.17534246575342466,0.19726027397260273,0.0,0.0,0.0,Lúa đông xuân,7.314630988347001,-1.0,40,10.5149,105.1132,0.5879285294117648,44,5.5,27,1.2
An Giang,2008,27.516830601092895,1.6637038424356039,32.54,22.69,39.96,19.11,77.84948087431694,11.807556879210804,79.34592896174864,1207.24,45.14,5.220705023288537,0.6820218579234972,23.407622950819672,72,0,198,6,64,6411.16,6.066532663316583,0.17534246575342466,0.19726027397260273,0.0,0.0,0.0,Sắn,23.9,-1.0,40,10.5149,105.1132,0.5879285294117648,44,5.5,27,1.2
An Giang,2008,27.516830601092895,1.6637038424356039,32.54,22.69,39.96,19.11,77.84948087431694,11.807556879210804,79.34592896174864,1207.24,45.14,5.220705023288537,0.6820218579234972,23.407622950819672,72,0,198,6,64,6411.16,6.066532663316583,0.17534246575342466,0.19726027397260273,0.0,0.0,0.0,Lúa thu đông,11.115892697301906,-1.0,40,10.5149,105.1132,0.5879285294117648,44,5.5,27,1.2
An Giang,2009,27.536383561643838,1.4994948108083366,31.38,21.72,38.42,16.31,78.47254794520548,8.313827408747887,75.19704109589041,1061.61,39.0,4.7619875920865775,0.6565753424657534,23.456438356164384,34,0,180,5,65,6400.78,5.86524861878453,0.1780821917808219,0.09315068493150686,1207.24,27.516830601092895,6411.16,Lúa mùa,3.75,-1.0,40,10.5149,105.1132,0.5879285294117648,44,5.5,27,1.2
An Giang,2009,27.536383561643838,1.4994948108083366,31.38,21.72,38.42,16.31,78.47254794520548,8.313827408747887,75.19704109589041,1061.61,39.0,4.7619875920865775,0.6565753424657534,23.456438356164384,34,0,180,5,65,6400.78,5.86524861878453,0.1780821917808219,0.09315068493150686,1207.24,27.516830601092895,6411.16,Ngô,7.076086956521738,-1.0,40,10.5149,105.1132,0.5879285294117648,44,5.5,27,1.2
