Province,Year,T2M_mean,T2M_std,T2M_max,T2M_min,T2M_MAX_max,T2M_MIN_min,RH2M_mean,RH2M_std,CLOUD_AMT_mean,PRECTOTCORR_sum,PRECTOTCORR_max,PRECTOTCORR_std,GWETPROF_mean,CLRSKY_SFC_SW_DWN_mean,hot_day_sum,cold_day_sum,rainy_day_sum,heavy_rain_sum,dry_day_sum,low_moisture_sum,GDD_sum,rain_intensity,dry_ratio,hot_ratio,PRECTOTCORR_sum_lag1,T2M_mean_lag1,GDD_sum_lag1,Commodity,Value,Elevation,Landcover,Ndvi_mean,Soil_clay,Soil_ph,Soil_sand,Soil_soc,Price,Revenue,Label
An Giang,2008,27.51683060109289,1.663703842435604,32.54,22.69,39.96,19.11,77.84948087431694,11.807556879210804,79.34592896174864,1207.24,45.14,5.220705023288537,0.6820218579234972,23.407622950819672,72,0,198,6,64,0,6411.16,6.066532663316583,0.1753424657534246,0.1972602739726027,0.0,0.0,0.0,Lúa mùa,31000.0,-1.0,40,0.5879285294117648,44,5.5,27,1.2,4671000.0,144801000000.0,Lúa
An Giang,2008,27.51683060109289,1.663703842435604,32.54,22.69,39.96,19.11,77.84948087431694,11.807556879210804,79.34592896174864,1207.24,45.14,5.220705023288537,0.6820218579234972,23.407622950819672,72,0,198,6,64,0,6411.16,6.066532663316583,0.1753424657534246,0.1972602739726027,0.0,0.0,0.0,Ngô,85600.0,-1.0,40,0.5879285294117648,44,5.5,27,1.2,4096000.0,350617600000.0,Lúa
An Giang,2008,27.51683060109289,1.663703842435604,32.54,22.69,39.96,19.11,77.84948087431694,11.807556879210804,79.34592896174864,1207.24,45.14,5.220705023288537,0.6820218579234972,23.407622950819672,72,0,198,6,64,0,6411.16,6.066532663316583,0.1753424657534246,0.1972602739726027,0.0,0.0,0.0,Lúa,3513800.0,-1.0,40,0.5879285294117648,44,5.5,27,1.2,4671000.0,16412959800000.0,Lúa
An Giang,2008,27.51683060109289,1.663703842435604,32.54,22.69,39.96,19.11,77.84948087431694,11.807556879210804,79.34592896174864,1207.24,45.14,5.220705023288537,0.6820218579234972,23.407622950819672,72,0,198,6,64,0,6411.16,6.066532663316583,0.1753424657534246,0.1972602739726027,0.0,0.0,0.0,Lúa hè thu,1788000.0,-1.0,40,0.5879285294117648,44,5.5,27,1.2,4671000.0,8351748000000.0,Lúa
An Giang,2008,27.51683060109289,1.663703842435604,32.54,22.69,39.96,19.11,77.84948087431694,11.807556879210804,79.34592896174864,1207.24,45.14,5.220705023288537,0.6820218579234972,23.407622950819672,72,0,198,6,64,0,6411.16,6.066532663316583,0.1753424657534246,0.1972602739726027,0.0,0.0,0.0,Khoai lang,4400.0,-1.0,40,0.5879285294117648,44,5.5,27,1.2,3000000.0,13200000000.0,Lúa
An Giang,2008,27.51683060109289,1.663703842435604,32.54,22.69,39.96,19.11,77.84948087431694,11.807556879210804,79.34592896174864,1207.24,45.14,5.220705023288537,0.6820218579234972,23.407622950819672,72,0,198,6,64,0,6411.16,6.066532663316583,0.1753424657534246,0.1972602739726027,0.0,0.0,0.0,Lúa đông xuân,1694800.0,-1.0,40,0.5879285294117648,44,5.5,27,1.2,4671000.0,7916410800000.0,Lúa
An Giang,2008,27.51683060109289,1.663703842435604,32.54,22.69,39.96,19.11,77.84948087431694,11.807556879210804,79.34592896174864,1207.24,45.14,5.220705023288537,0.6820218579234972,23.407622950819672,72,0,198,6,64,0,6411.16,6.066532663316583,0.1753424657534246,0.1972602739726027,0.0,0.0,0.0,Sắn,23900.0,-1.0,40,0.5879285294117648,44,5.5,27,1.2,2200000.0,52580000000.0,Lúa
An Giang,2008,27.51683060109289,1.663703842435604,32.54,22.69,39.96,19.11,77.84948087431694,11.807556879210804,79.34592896174864,1207.24,45.14,5.220705023288537,0.6820218579234972,23.407622950819672,72,0,198,6,64,0,6411.16,6.066532663316583,0.1753424657534246,0.1972602739726027,0.0,0.0,0.0,Lúa thu đông,1788000.0,-1.0,40,0.5879285294117648,44,5.5,27,1.2,4671000.0,8351748000000.0,Lúa
An Giang,2009,27.53638356164384,1.4994948108083366,31.38,21.72,38.42,16.31,78.47254794520548,8.313827408747887,75.19704109589041,1061.61,39.0,4.7619875920865775,0.6565753424657534,23.456438356164384,34,0,180,5,65,0,6400.78,5.86524861878453,0.1780821917808219,0.0931506849315068,1207.24,27.51683060109289,6411.16,Lúa mùa,28500.0,-1.0,40,0.5879285294117648,44,5.5,27,1.2,5045000.0,143782500000.0,Lúa
An Giang,2009,27.53638356164384,1.4994948108083366,31.38,21.72,38.42,16.31,78.47254794520548,8.313827408747887,75.19704109589041,1061.61,39.0,4.7619875920865775,0.6565753424657534,23.456438356164384,34,0,180,5,65,0,6400.78,5.86524861878453,0.1780821917808219,0.0931506849315068,1207.24,27.51683060109289,6411.16,Ngô,65099.99999999999,-1.0,40,0.5879285294117648,44,5.5,27,1.2,4097000.0,266714699999.99997,Lúa
An Giang,2009,27.53638356164384,1.4994948108083366,31.38,21.72,38.42,16.31,78.47254794520548,8.313827408747887,75.19704109589041,1061.61,39.0,4.7619875920865775,0.6565753424657534,23.456438356164384,34,0,180,5,65,0,6400.78,5.86524861878453,0.1780821917808219,0.0931506849315068,1207.24,27.51683060109289,6411.16,Lúa,3421500.0,-1.0,40,0.5879285294117648,44,5.5,27,1.2,5045000.0,17261467500000.0,Lúa
An Giang,2009,27.53638356164384,1.4994948108083366,31.38,21.72,38.42,16.31,78.47254794520548,8.313827408747887,75.19704109589041,1061.61,39.0,4.7619875920865775,0.6565753424657534,23.456438356164384,34,0,180,5,65,0,6400.78,5.86524861878453,0.1780821917808219,0.0931506849315068,1207.24,27.51683060109289,6411.16,Lúa hè thu,1715800.0,-1.0,40,0.5879285294117648,44,5.5,27,1.2,5045000.0,8656211000000.0,Lúa
An Giang,2009,27.53638356164384,1.4994948108083366,31.38,21.72,38.42,16.31,78.47254794520548,8.313827408747887,75.19704109589041,1061.61,39.0,4.7619875920865775,0.6565753424657534,23.456438356164384,34,0,180,5,65,0,6400.78,5.86524861878453,0.1780821917808219,0.0931506849315068,1207.24,27.51683060109289,6411.16,Khoai lang,2100.0,-1.0,40,0.5879285294117648,44,5.5,27,1.2,3736000.0,7845600000.0,Lúa
An Giang,2009,27.53638356164384,1.4994948108083366,31.38,21.72,38.42,16.31,78.47254794520548,8.313827408747887,75.19704109589041,1061.61,39.0,4.7619875920865775,0.6565753424657534,23.456438356164384,34,0,180,5,65,0,6400.78,5.86524861878453,0.1780821917808219,0.0931506849315068,1207.24,27.51683060109289,6411.16,Lúa đông xuân,1677200.0,-1.0,40,0.5879285294117648,44,5.5,27,1.2,5045000.0,8461474000000.0,Lúa
