"Diện tích gieo trồng lúa đông xuân phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Ninh Thuận",12.0,13.2,13.1,14.3,14.3,15.0,16.0,12.8,14.8,16.7,17.0,17.1,12.0,17.4,17.9,17.2
"Bình Thuận",27.1,23.8,29.9,31.2,32.6,33.6,35.9,34.4,22.4,35.0,37.6,37.0,22.2,36.5,39.5,39.4
"Tây Nguyên",69.1,72.7,75.2,77.9,80.7,80.1,85.6,84.8,79.1,86.5,87.5,88.1,89.5,92.0,93.9,95.1
"Kon Tum",6.8,7.0,6.5,6.6,6.9,7.1,7.2,7.6,7.4,7.1,7.1,7.1,7.1,7.1,7.3,7.3
"Gia Lai",22.3,23.1,24.0,24.4,25.4,25.7,26.3,26.3,23.4,25.0,25.3,25.6,25.9,26.0,26.7,26.8
"Đắk Lắk",26.7,28.2,29.8,31.2,33.0,32.4,36.9,35.7,34.2,39.6,41.1,41.2,42.5,44.7,45.8,47.0
"Đắk Nông",3.9,4.2,4.1,4.5,4.5,4.4,4.6,4.7,4.4,4.9,4.6,4.8,4.9,5.0,5.0,5.1
"Lâm Đồng",9.4,10.2,10.8,11.2,10.9,10.5,10.6,10.5,9.7,9.9,9.4,9.4,9.1,9.3,9.1,8.8
"Đông Năm Bộ",75.8,76.9,79.3,77.3,80.6,76.7,74.0,75.5,74.9,77.3,79.8,82.3,79.2,78.2,79.3,79.4
"Bình Phước",2.9,3.1,2.9,2.7,3.6,3.3,3.3,3.2,3.1,3.3,3.5,3.3,3.0,2.8,2.8,2.8
"Tây Ninh",41.9,43.6,45.9,45.8,47.6,44.6,42.6,44.4,43.2,44.6,46.3,48.4,46.1,46.4,47.5,47.7
"Bình Dương",3.0,2.6,2.7,3.0,2.9,2.8,2.6,2.4,2.2,2.3,2.2,2.1,2.1,2.0,1.9,1.8
"Đồng Nai",16.0,15.9,15.8,15.0,14.7,14.5,14.5,14.5,14.7,15.0,16.0,16.3,16.0,15.4,15.3,15.3
"Bà Rịa - Vũng Tàu",5.0,5.2,5.4,5.4,5.4,5.4,5.4,6.1,6.5,6.7,7.0,7.1,7.1,6.9,7.2,7.0
"TP.Hồ Chí Minh",7.0,6.5,6.6,5.4,6.4,6.1,5.6,4.9,5.2,5.4,4.8,5.1,4.9,4.7,4.6,4.8
"Đồng bằng sông Cửu Long",1526.5,1548.8,1564.6,1567.5,1580.2,1564.4,1562.7,1617.5,1601.9,1579.1,1573.8,1604.7,1546.5,1519.6,1506.9,1478.7
"Long An",240.0,249.0,251.1,254.0,262.1,232.7,235.5,233.9,232.5,234.2,235.6,232.0,227.2,225.9,225.9,225.2
