"Sản lượng lúa mùa phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Khánh Hoà",17.0,22.1,24.4,25.1,28.9,27.4,30.8,22.2,26.2,29.4,28.7,27.3,24.6,28.4,22.2,30.4
"Ninh Thuận",56.1,54.6,48.4,48.4,64.7,75.9,75.2,65.2,39.8,70.6,47.6,63.1,51.4,65.4,65.2,73.6
"Bình Thuận",148.6,188.8,174.7,186.3,201.1,213.1,218.3,223.2,223.9,239.8,236.2,235.0,244.9,245.2,242.8,253.6
"Tây Nguyên",549.0,559.4,589.6,633.5,639.6,671.1,690.5,695.9,720.5,753.5,778.8,787.4,798.5,821.5,846.3,868.8
"Kon Tum",48.3,46.5,47.4,49.6,52.4,52.1,52.6,55.8,56.3,58.2,58.0,59.2,56.8,61.4,60.7,63.7
"Gia Lai",166.9,159.5,175.1,180.7,186.4,192.0,197.9,199.7,207.8,214.0,216.5,220.1,229.5,225.6,237.2,239.8
"Đắk Lắk",230.3,241.1,260.5,286.8,281.3,311.5,321.6,325.6,340.7,367.6,388.8,395.1,403.1,425.8,438.7,458.4
"Đắk Nông",30.1,36.4,37.6,40.0,42.1,41.8,44.9,44.2,46.5,45.2,49.4,47.2,46.6,48.9,49.6,49.3
"Lâm Đồng",73.4,75.9,69.0,76.4,77.4,73.7,73.5,70.6,69.2,68.5,66.1,65.8,62.5,59.8,60.1,57.6
"Đông Năm Bộ",535.9,534.3,533.1,524.5,536.6,504.4,509.1,507.0,504.8,506.7,497.2,490.5,487.0,491.0,479.1,491.3
"Bình Phước",31.8,35.4,36.2,33.5,35.0,33.4,31.6,31.4,30.2,28.8,29.2,27.0,30.4,27.5,28.4,29.8
"Tây Ninh",258.3,254.5,272.4,264.7,272.9,248.9,252.3,255.0,254.9,265.9,266.6,259.3,266.5,269.2,267.8,270.4
"Bình Dương",19.6,18.8,19.1,17.5,17.4,17.0,14.9,13.5,13.6,13.4,12.9,12.4,11.6,11.4,10.8,10.3
"Đồng Nai",132.1,136.8,127.4,131.7,133.9,130.2,132.1,129.4,129.0,123.6,114.4,114.4,105.1,103.5,101.4,99.3
"Bà Rịa - Vũng Tàu",41.7,43.9,40.3,39.8,39.9,40.1,43.4,44.5,45.5,42.6,45.7,50.4,44.8,50.2,42.0,53.0
"TP.Hồ Chí Minh",52.4,44.9,37.7,37.3,37.5,34.8,34.8,33.2,31.6,32.4,28.4,27.0,28.6,29.2,28.8,28.5
"Đồng bằng sông Cửu Long",1583.2,1611.0,1599.0,1627.6,1809.6,1903.7,1880.8,973.9,639.6,699.1,909.6,779.8,760.2,665.3,881.2,914.1
"Long An",46.8,25.1,39.4,33.2,36.4,30.8,32.2,18.0,5.5,6.2,7.0,7.7,6.7,5.9,6.6,5.4
"Tiền Giang",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bến Tre",139.4,142.2,154.6,148.9,154.2,147.4,131.4,119.4,20.3,29.8,24.8,24.4,21.8,15.0,20.4,20.9
