"Diện tích gieo trồng ngô phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Ninh Thuận",14.7,15.2,14.5,15.8,15.8,15.4,14.0,11.8,11.7,12.9,11.7,11.0,10.2,11.4,11.2,11.8
"Bình Thuận",18.4,19.2,18.7,17.5,19.7,19.8,19.9,19.6,20.0,18.4,16.0,16.1,15.2,15.3,14.7,15.2
"Tây Nguyên",233.6,243.6,236.8,232.6,246.9,251.7,249.6,241.3,235.3,216.4,212.9,204.9,192.8,172.9,170.9,171.4
"Kon Tum",8.0,8.2,8.0,7.3,7.2,7.3,6.7,6.4,6.4,6.2,5.9,5.5,5.3,5.5,5.3,5.0
"Gia Lai",55.4,57.2,56.9,50.7,53.3,52.6,52.6,51.6,52.0,47.4,46.2,46.7,44.5,38.1,37.3,38.2
"Đắk Lắk",117.9,121.8,115.7,116.0,119.6,123.0,122.3,118.4,112.4,100.3,94.5,90.1,87.3,80.9,80.7,80.7
"Đắk Nông",33.9,38.5,40.0,41.8,49.1,52.3,52.6,51.0,51.7,50.5,56.5,54.0,48.0,41.0,40.2,40.0
"Lâm Đồng",18.4,17.9,16.2,16.8,17.7,16.5,15.4,13.9,12.8,12.0,9.8,8.6,7.7,7.4,7.4,7.5
"Đông Năm Bộ",88.8,89.7,79.8,78.7,79.3,79.8,80.0,78.8,75.7,70.2,68.7,63.2,58.3,54.7,51.1,50.6
"Bình Phước",5.6,7.4,6.7,5.3,5.5,5.3,4.9,4.9,4.5,4.5,4.2,3.9,3.2,3.0,2.7,2.8
"Tây Ninh",6.3,7.3,5.9,5.2,5.2,5.1,5.2,5.0,4.4,4.9,5.8,5.0,4.7,5.2,5.1,5.0
"Bình Dương",0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3
"Đồng Nai",56.7,54.4,47.7,49.9,51.2,52.0,52.2,52.2,51.5,46.2,44.0,39.6,36.3,35.8,35.2,35.1
"Bà Rịa - Vũng Tàu",18.9,18.9,18.1,17.2,16.2,15.9,15.9,15.4,14.4,13.7,13.5,13.6,13.2,10.0,7.4,7.0
"TP.Hồ Chí Minh",0.7,1.2,0.9,0.6,0.8,1.1,1.4,0.9,0.5,0.5,0.8,0.7,0.5,0.4,0.3,0.4
"Đồng bằng sông Cửu Long",40.6,37.2,37.7,40.7,39.6,40.1,38.0,38.2,34.8,35.1,33.3,30.9,27.5,24.4,25.1,25.0
"Long An",5.1,4.0,5.2,4.9,4.0,3.9,4.2,4.2,2.4,1.4,1.3,0.7,0.4,0.3,0.3,0.3
"Tiền Giang",4.6,4.7,4.7,5.0,4.6,4.3,4.0,4.4,4.1,4.5,4.7,3.9,3.4,2.2,2.4,2.3
"Bến Tre",0.7,0.9,0.9,1.0,0.9,0.7,0.7,0.7,0.6,0.6,0.5,0.3,0.2,0.2,0.2,0.1
"Trà Vinh",5.3,5.6,5.2,5.7,5.5,5.3,5.4,5.5,4.3,4.2,3.9,3.7,3.7,3.8,3.8,3.8
"Vĩnh Long",1.1,1.2,1.3,1.5,1.5,1.1,1.1,1.2,1.3,1.4,1.6,1.6,1.4,1.4,1.4,1.4
"Đồng Tháp",5.1,4.2,3.7,4.9,4.6,5.1,4.7,4.6,4.8,5.2,4.3,5.2,4.9,3.9,4.0,4.8
"An Giang",11.5,9.2,9.8,10.4,10.7,11.3,9.6,8.6,8.1,8.3,7.5,6.0,5.7,5.2,6.2,5.5
"Kiên Giang",0.0,0.1,..,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.2,0.3,0.3,0.3,0.3
"Cần Thơ",1.0,1.1,1.0,1.1,1.1,1.2,1.0,1.1,1.1,1.1,1.1,0.9,0.9,1.2,1.0,1.0
"Hậu Giang",2.1,2.0,1.8,1.7,2.2,2.2,2.7,2.9,3.2,3.2,3.2,3.2,3.0,3.0,2.6,2.6
"Sóc Trăng",3.7,3.9,3.7,3.7,3.8,4.2,3.8,4.1,4.0,4.2,4.2,4.4,2.8,2.3,2.3,1.9
"Bắc Liêu",0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"Cà Mau",0.2,0.2,0.3,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7
