"Sản lượng lương thực có hạt phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Phú Yên",312.1,342.1,364.0,365.2,368.7,386.5,387.0,401.9,398.7,396.8,418.1,397.1,412.4,410.6,382.2,405.0
"Khánh Hoà",225.6,240.1,243.1,254.5,260.6,272.6,276.2,212.7,241.8,268.7,275.8,272.3,203.2,283.6,268.2,277.2
"Ninh Thuận",248.4,265.7,234.8,280.1,290.0,307.0,326.5,273.4,257.4,327.7,293.4,310.7,249.9,326.9,335.5,350.3
"Bình Thuận",570.2,612.8,645.1,706.5,736.9,758.2,796.4,788.3,724.0,832.4,812.6,794.1,741.6,840.9,832.2,851.1
"Tây Nguyên",2015.3,2116.8,2226.3,2278.2,2378.9,2454.2,2571.9,2505.5,2436.1,2539.3,2587.5,2598.9,2514.1,2502.5,2533.0,2603.2
"Kon Tum",105.6,105.8,106.1,103.2,110.1,110.4,110.6,115.8,113.1,117.2,116.9,115.9,112.0,120.0,119.3,121.9
"Gia Lai",487.0,496.6,528.8,501.0,540.9,542.9,566.7,552.5,536.9,566.4,571.2,593.4,596.8,588.4,607.3,626.5
"Đắk Lắk",947.4,988.0,1068.8,1116.6,1110.1,1174.6,1249.2,1209.2,1169.5,1238.5,1265.1,1263.5,1230.5,1253.6,1276.0,1322.1
"Đắk Nông",257.1,297.9,309.6,320.8,366.5,386.0,408.3,397.5,401.3,399.9,429.8,430.6,386.5,351.2,346.3,350.8
"Lâm Đồng",218.2,228.5,213.0,236.6,251.3,240.3,237.1,230.5,215.3,217.3,204.5,195.5,188.3,189.4,184.2,181.9
"Đông Năm Bộ",1763.8,1793.6,1737.6,1787.8,1843.9,1808.7,1827.3,1868.4,1849.3,1839.7,1860.2,1838.4,1807.8,1801.8,1784.2,1802.6
"Bình Phước",59.8,68.8,67.0,59.6,66.0,64.3,61.0,61.5,56.9,56.8,59.0,55.3,54.0,50.0,50.1,52.4
"Tây Ninh",736.2,753.6,768.8,788.5,804.4,769.3,768.6,788.4,784.6,816.6,845.4,834.9,826.1,839.6,839.0,850.6
"Bình Dương",41.0,39.0,40.0,39.5,38.8,37.8,34.8,32.1,31.5,31.4,29.9,29.0,27.8,27.0,25.8,24.8
"Đồng Nai",647.6,651.8,604.9,641.6,670.8,672.7,691.6,707.0,700.5,660.8,643.8,628.9,609.9,601.3,598.8,597.0
"Bà Rịa - Vũng Tàu",165.8,176.3,162.1,170.5,168.3,170.8,178.2,187.8,188.8,185.9,200.0,206.7,204.2,198.6,184.8,189.9
"TP.Hồ Chí Minh",113.4,104.1,94.8,88.1,95.6,93.8,93.1,91.6,87.0,88.2,82.1,83.6,85.8,85.4,85.7,87.9
"Đồng bằng sông Cửu Long",20898.7,20717.4,21796.0,23486.8,24534.6,25248.8,25475.0,25803.3,23968.7,23809.3,24698.2,24488.3,23997.6,24480.8,23700.9,24316.0
"Long An",2205.7,2178.1,2333.3,2576.6,2687.3,2838.5,2889.8,2947.7,2813.9,2652.2,2810.7,2778.8,2832.7,2927.2,2862.8,3082.1
"Tiền Giang",1336.5,1323.6,1336.3,1349.4,1385.4,1363.6,1384.8,1360.2,1283.1,1265.5,1271.4,1137.4,813.5,844.4,847.1,799.4
"Bến Tre",363.2,365.8,370.3,366.1,378.4,334.2,321.6,281.4,89.9,229.3,238.7,215.2,59.7,167.2,111.4,110.3
