"Diện tích gieo trồng lúa mùa phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Ninh Thuận",13.0,12.3,13.6,10.2,12.7,14.9,14.0,12.9,14.2,14.7,11.5,12.5,9.6,12.2,11.9,13.5
"Bình Thuận",35.3,40.8,38.6,39.9,40.0,40.9,41.6,40.1,40.0,44.3,43.7,42.5,43.9,44.1,42.5,43.1
"Tây Nguyên",136.2,136.6,136.7,140.1,142.7,146.1,146.0,146.3,148.6,150.8,152.2,149.7,151.5,152.4,152.6,153.7
"Kon Tum",16.6,16.8,15.9,16.0,16.4,16.3,16.4,16.8,16.8,16.9,16.6,16.6,16.2,16.2,15.6,15.4
"Gia Lai",46.1,46.8,46.4,46.1,48.0,48.3,48.9,48.9,49.4,49.6,49.4,48.4,49.8,49.1,49.2,49.7
"Đắk Lắk",49.1,48.5,50.3,53.3,54.4,57.9,57.5,57.7,59.7,61.9,64.2,63.8,65.1,67.0,68.1,69.4
"Đắk Nông",7.6,7.6,7.0,7.8,7.8,7.9,8.0,7.9,8.0,8.1,8.6,8.0,7.8,8.0,7.9,7.9
"Lâm Đồng",16.8,16.9,17.1,16.9,16.1,15.7,15.2,15.0,14.7,14.3,13.4,12.9,12.6,12.1,11.8,11.2
"Đông Năm Bộ",137.5,131.5,124.5,122.1,121.1,112.6,109.7,107.8,107.6,106.0,101.3,97.7,96.6,94.9,92.3,92.5
"Bình Phước",11.4,11.7,11.7,10.7,11.0,10.3,9.7,9.6,9.1,8.9,8.6,8.2,8.2,7.8,7.7,7.8
"Tây Ninh",59.2,57.8,56.4,56.8,56.4,50.8,50.4,50.9,51.9,52.9,51.9,50.1,51.2,50.7,50.6,50.9
"Bình Dương",6.4,5.6,5.3,4.9,4.8,4.7,4.0,3.5,3.5,3.4,3.3,3.2,2.9,2.8,2.6,2.5
"Đồng Nai",32.1,31.0,28.2,28.2,28.0,27.4,26.5,25.4,25.1,23.7,21.6,21.1,19.3,18.7,18.1,17.3
"Bà Rịa - Vũng Tàu",12.5,11.8,11.6,10.9,10.9,10.4,10.3,10.2,10.2,9.5,9.4,9.2,9.1,8.9,7.6,8.5
"TP.Hồ Chí Minh",15.9,13.6,11.3,10.6,10.0,9.0,8.8,8.2,7.8,7.6,6.5,5.9,5.9,6.0,5.7,5.5
"Đồng bằng sông Cửu Long",392.6,410.6,376.1,375.4,391.3,405.5,394.0,239.9,197.7,184.3,197.2,171.3,169.3,150.7,171.2,177.9
"Long An",15.3,13.3,12.3,10.0,10.1,8.8,8.8,5.1,2.3,2.2,2.2,2.1,1.8,1.7,1.6,1.3
"Tiền Giang",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bến Tre",34.1,35.8,35.9,33.6,33.6,33.1,29.2,27.9,9.8,8.4,8.0,6.8,6.0,5.0,5.0,5.2
"Trà Vinh",90.3,93.4,91.8,90.9,89.0,90.4,89.2,2.6,2.4,2.4,1.7,2.2,2.3,1.3,1.1,1.1
"Vĩnh Long",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Đồng Tháp",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"An Giang",8.1,7.6,5.4,5.4,5.9,5.4,5.1,5.3,5.0,5.0,0.1,4.8,4.8,4.5,3.6,3.5
"Kiên Giang",60.0,62.2,62.2,54.4,64.4,65.9,62.4,63.0,60.1,47.4,58.6,64.1,62.6,58.4,67.3,68.5
"Cần Thơ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Hậu Giang",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Sóc Trăng",22.3,26.9,21.8,23.6,26.6,31.5,30.6,13.6,14.1,12.5,12.0,11.5,11.7,11.3,10.6,10.9
"Bắc Liêu",65.9,68.5,56.8,62.7,68.3,76.1,78.0,32.2,28.9,31.3,33.7,36.8,39.6,39.4,41.5,46.5
"Cà Mau",96.6,102.9,89.9,94.8,93.4,94.3,90.7,90.2,75.1,75.1,80.9,43.0,40.5,29.1,40.5,40.9
