"Sản lượng khoai lang phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Ninh Thuận",0.6,1.8,2.5,1.7,1.8,1.7,1.1,1.1,1.5,2.8,3.4,3.3,2.4,3.1,3.2,3.2
"Bình Thuận",6.1,6.4,6.3,6.2,5.6,6.0,5.2,4.5,3.1,3.1,3.4,5.4,3.2,3.3,2.7,6.4
"Tây Nguyên",131.1,149.5,151.5,154.4,159.6,168.9,161.2,170.1,196.0,213.2,246.9,296.6,338.2,343.5,390.4,352.6
"Kon Tum",1.1,1.1,1.1,1.0,1.1,1.1,1.1,1.0,1.2,1.3,1.3,1.3,1.5,1.8,5.1,5.7
"Gia Lai",9.3,11.4,12.4,10.1,11.1,11.7,16.8,14.8,16.0,22.7,23.2,47.4,44.7,45.0,70.1,79.1
"Đắk Lắk",31.1,34.6,34.2,33.0,36.5,35.3,30.7,39.3,56.1,69.7,99.5,119.8,146.4,139.8,144.5,112.5
"Đắk Nông",56.7,71.7,76.9,80.8,84.7,99.2,92.7,96.6,97.9,87.1,87.1,89.8,93.4,96.2,98.3,81.6
"Lâm Đồng",32.9,30.7,26.9,29.5,26.2,21.6,19.9,18.4,24.8,32.4,35.9,38.3,52.2,60.6,72.5,73.6
"Đông Năm Bộ",17.4,17.5,16.0,14.5,11.1,9.9,8.0,8.0,10.2,9.1,10.3,15.1,9.3,8.5,7.6,5.6
"Bình Phước",4.3,5.8,4.9,4.3,3.0,2.8,2.7,2.0,2.7,3.2,2.6,2.7,2.6,3.0,2.4,0.4
"Tây Ninh",7.2,4.6,4.2,4.8,2.8,1.7,0.3,0.1,0.0,0.2,0.1,3.4,0.9,0.4,0.0,0.1
"Bình Dương",2.0,1.8,2.1,1.8,1.7,1.7,1.6,1.6,1.5,1.4,1.4,1.4,1.3,1.3,1.4,1.2
"Đồng Nai",2.9,4.7,4.0,2.7,3.0,3.1,2.9,2.8,4.6,3.3,4.7,6.1,4.1,3.3,3.6,3.6
"Bà Rịa - Vũng Tàu",0.8,0.4,0.5,0.6,0.6,0.6,0.5,1.2,1.0,0.7,1.3,1.3,0.1,0.4,0.2,0.2
"TP.Hồ Chí Minh",0.2,0.2,0.3,0.3,..,..,..,0.3,0.4,0.3,0.4,0.2,0.2,0.2,0.1,0.1
"Đồng bằng sông Cửu Long",243.1,279.4,307.1,386.0,512.6,459.9,557.5,494.5,454.9,542.4,559.1,568.6,520.7,398.9,122.5,112.6
"Long An",0.6,0.3,0.5,1.2,1.0,0.3,0.2,0.4,0.9,0.7,0.1,0.1,0.1,0.1,0.6,0.4
"Tiền Giang",3.8,3.5,3.3,3.8,4.5,4.1,4.1,5.4,5.7,6.6,6.9,6.9,7.1,6.2,3.0,3.0
"Bến Tre",1.7,2.8,2.0,1.2,1.3,1.5,1.1,0.7,0.8,0.5,0.5,0.4,0.2,0.4,0.5,0.4
"Trà Vinh",23.1,29.6,28.8,26.1,28.9,25.0,23.9,22.0,18.9,19.0,18.6,18.9,19.5,20.0,23.0,21.6
"Vĩnh Long",142.8,148.8,170.7,248.2,344.7,289.6,343.2,310.4,294.3,358.0,381.4,389.2,358.1,235.2,29.5,33.6
"Đồng Tháp",11.6,30.0,24.0,39.5,58.3,68.6,107.8,87.6,66.3,94.3,91.4,98.4,87.4,91.8,18.3,14.0
"An Giang",4.4,2.1,3.7,6.4,5.6,6.5,12.4,3.4,4.8,4.8,3.0,3.1,2.5,1.8,2.2,1.8
"Kiên Giang",13.4,19.4,28.9,14.4,17.8,25.7,29.0,31.5,33.8,32.1,30.7,30.0,33.8,33.5,33.1,27.6
"Cần Thơ",0.7,0.4,..,..,..,..,..,..,..,..,0.4,0.3,0.2,0.4,0.7,0.6
"Hậu Giang",15.0,10.5,9.7,6.9,5.9,5.8,2.9,2.9,2.3,2.4,2.5,1.4,0.6,0.4,1.1,0.9
"Sóc Trăng",21.9,27.8,30.7,32.0,29.7,28.5,27.7,26.3,23.0,20.0,19.4,15.6,7.5,6.0,7.2,6.6
"Bắc Liêu",3.3,3.3,3.4,3.3,3.4,2.7,3.8,2.8,3.1,3.0,3.3,3.4,2.9,2.5,2.5,1.5
"Cà Mau",0.8,0.9,0.9,0.9,1.0,1.0,1.0,0.9,0.8,0.9,0.8,0.9,0.7,0.7,0.7,0.7
