"Năng suất gieo trồng lúa mùa phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Ninh Thuận",43.2,44.4,35.6,47.5,50.9,50.9,53.7,50.5,28.0,48.0,41.4,50.5,53.5,53.6,54.7,54.6
"Bình Thuận",42.1,46.3,45.3,46.7,50.3,52.1,52.5,55.7,56.0,54.1,54.1,55.3,55.8,55.6,57.1,58.9
"Tây Nguyên",40.3,41.0,43.1,45.2,44.8,45.9,47.3,47.6,48.5,50.0,51.2,52.6,52.7,53.9,55.5,56.5
"Kon Tum",29.1,27.7,29.8,31.0,32.0,32.0,32.1,33.2,33.5,34.4,34.9,35.7,35.1,37.9,38.9,41.2
"Gia Lai",36.2,34.1,37.7,39.2,38.8,39.8,40.5,40.8,42.1,43.1,43.8,45.5,46.1,45.9,48.2,48.2
"Đắk Lắk",46.9,49.7,51.8,53.8,51.7,53.8,55.9,56.4,57.1,59.4,60.6,61.9,61.9,63.6,64.4,66.1
"Đắk Nông",39.6,47.9,53.7,51.3,54.0,52.9,56.1,55.9,58.1,55.8,57.4,59.0,59.7,61.1,62.7,62.4
"Lâm Đồng",43.7,44.9,40.4,45.2,48.1,46.9,48.4,47.1,47.1,47.9,49.3,51.0,49.6,49.4,51.0,51.4
"Đông Năm Bộ",39.0,40.6,42.8,43.0,44.3,44.8,46.4,47.0,46.9,47.8,49.1,50.2,50.4,51.7,51.9,53.1
"Bình Phước",27.9,30.3,30.9,31.3,31.8,32.4,32.6,32.7,33.2,32.4,34.0,32.9,37.1,35.3,36.8,38.2
"Tây Ninh",43.6,44.0,48.3,46.6,48.4,49.0,50.1,50.1,49.1,50.3,51.4,51.8,52.1,53.1,52.9,53.1
"Bình Dương",30.6,33.6,36.0,35.7,36.3,36.2,37.3,38.6,38.9,39.4,39.1,38.8,40.0,40.7,41.5,41.7
