"Sản lượng lúa cả năm phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Phú Yên",294.6,326.8,346.8,344.2,346.0,363.8,365.0,378.1,376.2,374.4,392.2,372.9,390.3,390.3,362.4,386.6
"Khánh Hoà",215.2,228.2,231.0,241.2,246.5,258.0,261.3,199.8,227.1,254.7,261.1,259.3,191.9,272.4,257.0,266.1
"Ninh Thuận",200.3,213.6,188.0,223.2,236.8,247.1,267.7,224.5,211.8,276.6,243.3,262.8,200.9,274.3,280.3,289.4
"Bình Thuận",469.9,505.6,535.5,602.3,620.1,638.6,673.4,664.9,598.3,717.8,709.3,689.5,641.3,737.9,736.2,750.7
"Tây Nguyên",935.2,999.1,1042.1,1067.7,1138.8,1151.2,1245.0,1209.8,1174.0,1315.6,1379.8,1394.7,1413.7,1466.3,1505.5,1531.3
"Kon Tum",77.4,77.4,77.7,77.0,83.8,83.7,85.6,91.6,87.1,91.1,91.6,93.4,90.3,96.8,97.2,100.3
"Gia Lai",292.8,288.2,310.1,293.3,332.6,330.5,350.1,333.1,318.9,354.9,362.1,373.2,385.0,384.7,402.2,402.1
"Đắk Lắk",369.3,421.6,450.7,474.3,490.6,514.1,577.8,555.8,550.2,643.5,697.5,703.8,716.4,756.2,780.8,810.9
"Đắk Nông",52.1,61.2,61.8,64.9,68.6,66.6,73.5,73.1,72.4,74.6,78.7,77.0,77.5,81.7,82.8,80.7
"Lâm Đồng",143.6,150.7,141.8,158.2,163.2,156.3,158.0,156.2,145.4,151.5,149.9,147.3,144.5,146.9,142.6,137.3
"Đông Năm Bộ",1316.1,1334.3,1322.7,1361.2,1398.6,1346.1,1349.1,1376.1,1367.4,1396.7,1418.9,1423.1,1401.9,1411.8,1409.1,1432.5
"Bình Phước",41.5,45.5,46.0,42.9,47.2,44.9,42.6,42.4,39.4,39.6,42.6,40.3,41.6,38.3,39.6,41.4
"Tây Ninh",705.3,717.8,738.8,762.4,778.1,742.3,740.9,760.8,760.0,788.9,813.0,806.7,798.8,809.4,808.8,821.0
"Bình Dương",39.8,37.8,38.8,38.5,37.9,37.0,34.1,31.4,30.6,30.6,29.1,28.2,27.0,26.2,25.0,24.1
