"Diện tích gieo trồng cây lương thực có hạt phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Khánh Hoà",51.4,51.9,50.2,51.5,53.7,53.3,52.3,40.4,46.4,54.1,53.0,51.5,38.7,50.4,48.4,50.1
"Ninh Thuận",52.9,54.5,52.4,54.8,57.5,59.2,57.0,49.1,53.1,61.5,54.9,55.6,43.1,55.9,56.7,58.8
"Bình Thuận",119.4,122.5,125.9,128.8,132.9,135.1,139.6,134.7,123.4,142.6,141.2,134.7,124.9,138.9,135.1,138.5
"Tây Nguyên",445.2,459.4,454.6,456.8,476.7,484.2,487.5,478.9,469.0,460.4,458.9,449.0,439.7,423.1,422.9,425.5
"Kon Tum",31.4,32.0,30.4,29.9,30.5,30.7,30.3,30.8,30.9,30.6,29.9,29.4,28.6,28.9,28.1,27.8
"Gia Lai",123.8,127.1,127.3,121.2,126.7,126.6,127.8,126.8,124.8,122.0,120.9,120.8,120.2,113.2,113.3,114.8
"Đắk Lắk",193.7,198.7,195.8,200.5,207.0,213.3,216.7,211.8,206.3,201.8,199.8,195.2,194.9,192.6,194.6,197.1
"Đắk Nông",45.4,50.3,51.1,54.1,61.5,64.7,65.3,63.6,64.2,63.6,69.7,66.7,60.7,54.0,53.1,53.0
"Lâm Đồng",50.9,51.3,50.0,51.1,51.0,48.9,47.4,45.9,42.8,42.4,38.6,36.9,35.3,34.5,33.8,32.8
"Đông Năm Bộ",396.5,394.4,374.9,371.8,373.7,360.1,353.2,352.5,345.9,342.2,338.9,330.6,320.3,313.5,306.7,306.4
"Bình Phước",19.9,22.2,21.3,18.7,20.1,18.9,17.9,18.0,16.8,16.8,16.3,15.4,14.5,13.6,13.2,13.4
"Tây Ninh",158.5,161.7,160.1,160.7,160.5,151.4,147.4,149.3,148.9,152.8,155.3,154.1,152.4,153.0,152.8,153.7
"Bình Dương",12.3,10.9,10.6,10.3,10.0,9.7,8.7,8.0,7.7,7.6,7.3,7.0,6.6,6.4,6.0,5.7
"Đồng Nai",131.7,127.6,117.1,118.6,119.6,118.2,117.5,115.9,113.1,106.9,103.8,98.4,91.9,89.6,87.7,86.4
"Bà Rịa - Vũng Tàu",43.0,43.6,40.5,40.9,40.3,39.4,39.4,40.0,39.4,38.5,38.5,38.2,37.6,34.0,30.4,30.7
"TP.Hồ Chí Minh",31.1,28.4,25.3,22.6,23.2,22.5,22.3,21.3,20.0,19.6,17.7,17.5,17.3,17.0,16.5,16.4
"Đồng bằng sông Cửu Long",3899.5,3907.2,3983.6,4134.6,4223.6,4380.4,4287.5,4339.6,4276.0,4220.4,4140.8,4100.6,3991.2,3923.0,3827.7,3863.7
"Long An",462.1,467.6,476.3,489.1,503.6,531.6,523.4,527.0,529.8,528.1,512.6,506.9,503.0,511.6,509.4,516.6
"Tiền Giang",249.5,251.1,248.7,246.8,246.0,239.9,234.6,229.1,219.5,215.3,206.0,188.2,139.4,134.1,137.2,131.7
